Reporting month;;;;;Sales Month;Platform;Country / Region;Label Name;Artist Name;Release title;Track title;UPC;ISRC;Release Catalog nb;Release type;Sales Type;Quantity;Client Payment Currency;Unit Price;Mechanical Fee;Gross Revenue;Client share rate;Net Revenue
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
2024-11-01;;;;;;;;;;;;;;;;;;;;;;;
